size,qsort,odd-even,double-selection
4460,0.001118,0.146121,0.075023
4470,0.001131,0.148144,0.073112
4480,0.001136,0.148983,0.074318
4490,0.001127,0.150705,0.076279
4500,0.001154,0.147795,0.075461
4510,0.001131,0.150881,0.073953
4520,0.001103,0.152418,0.076161
4530,0.001164,0.153730,0.078064
4540,0.001323,0.153294,0.078027
4550,0.001198,0.154298,0.076163
4560,0.001136,0.154503,0.078442
4570,0.001156,0.155502,0.078161
4580,0.001177,0.156543,0.078923
4590,0.001163,0.156022,0.079035
4600,0.001185,0.158480,0.079667
4610,0.001160,0.158456,0.078450
4620,0.001161,0.157520,0.078942
4630,0.001194,0.158294,0.078367
4640,0.001191,0.161843,0.079810
4650,0.001190,0.161377,0.081622
4660,0.001199,0.163099,0.080739
4670,0.001182,0.160962,0.081804
4680,0.001178,0.164248,0.082636
4690,0.001209,0.164144,0.082389
4700,0.001191,0.163470,0.083208
4710,0.001193,0.167296,0.084077
4720,0.001229,0.164570,0.083427
4730,0.001216,0.167659,0.083698
4740,0.001200,0.163810,0.084005
4750,0.001205,0.168494,0.083600
4760,0.001244,0.171171,0.085673
4770,0.001248,0.168958,0.084311
4780,0.001213,0.170033,0.085604
4790,0.001200,0.169658,0.086026
4800,0.001211,0.173175,0.086488
4810,0.001253,0.170403,0.086826
4820,0.001231,0.175655,0.086533
4830,0.001252,0.175392,0.088263
4840,0.001237,0.175775,0.086973
4850,0.001247,0.179522,0.087438
4860,0.001254,0.176453,0.086866
4870,0.001209,0.177253,0.089798
4880,0.001229,0.178770,0.089978
4890,0.001279,0.177745,0.089372
4900,0.001230,0.180124,0.091286
4910,0.001328,0.183670,0.089440
4920,0.001275,0.181787,0.089687
4930,0.001198,0.179407,0.089926
4940,0.001256,0.183392,0.090973
4950,0.001255,0.185492,0.090150
4960,0.001213,0.181850,0.090909
4970,0.001237,0.184388,0.092807
4980,0.001286,0.187810,0.091961
4990,0.001302,0.186972,0.094034
5000,0.001355,0.187725,0.092507
5010,0.001297,0.188950,0.091973
5020,0.001260,0.187574,0.094334
5030,0.001276,0.186535,0.095085
5040,0.001340,0.195061,0.095006
5050,0.001274,0.191339,0.095959
5060,0.001308,0.190890,0.095906
5070,0.001316,0.194600,0.095847
5080,0.001277,0.191670,0.094739
5090,0.001282,0.192387,0.096038
5100,0.001294,0.197382,0.098511
5110,0.001340,0.195410,0.096685
5120,0.001273,0.194170,0.097127
5130,0.001317,0.197213,0.097021
5140,0.001312,0.199416,0.097668
5150,0.001380,0.199370,0.098391
5160,0.001312,0.197462,0.099728
5170,0.001351,0.200087,0.099458
5180,0.001316,0.203610,0.099598
5190,0.001391,0.198732,0.099801
5200,0.001340,0.203769,0.101142
5210,0.001308,0.204321,0.102651
5220,0.001366,0.202929,0.102406
5230,0.001353,0.205981,0.102208
5240,0.001359,0.205917,0.101142
5250,0.001360,0.204788,0.100643
5260,0.001376,0.207793,0.104133
5270,0.001359,0.208088,0.103440
5280,0.001347,0.208710,0.103124
5290,0.001311,0.212691,0.104760
5300,0.001370,0.228425,0.107073
5310,0.001349,0.212131,0.103408
5320,0.001311,0.213506,0.105132
5330,0.001379,0.211285,0.105252
5340,0.001391,0.215071,0.106151
5350,0.001419,0.215914,0.107307
5360,0.001375,0.217825,0.107837
5370,0.001376,0.213166,0.103362
5380,0.001375,0.218549,0.107471
5390,0.001375,0.216555,0.106136
5400,0.001374,0.219380,0.106697
5410,0.001538,0.220891,0.110029
5420,0.001571,0.218450,0.109416
5430,0.001400,0.218570,0.108863
5440,0.001413,0.224334,0.110168
5450,0.001388,0.220539,0.110647
5460,0.001418,0.225106,0.111617
5470,0.001417,0.226011,0.111454
5480,0.001355,0.224929,0.110847
5490,0.001466,0.228196,0.112070
5500,0.001454,0.229092,0.110305
5510,0.001415,0.228884,0.111830
5520,0.001368,0.230230,0.115100
5530,0.001357,0.229230,0.115790
5540,0.001446,0.231945,0.113441
5550,0.001423,0.229935,0.112860
5560,0.001391,0.235448,0.115631
5570,0.001462,0.234958,0.115005
5580,0.001503,0.236319,0.117774
5590,0.001428,0.237758,0.116435
5600,0.001445,0.240937,0.117270
5610,0.001439,0.238839,0.118792
5620,0.001439,0.239228,0.116132
5630,0.001431,0.238701,0.118893
5640,0.001458,0.240835,0.119976
5650,0.001473,0.242696,0.118002
5660,0.001488,0.243323,0.118946
5670,0.001491,0.245781,0.119706
5680,0.001466,0.240404,0.121541
5690,0.001468,0.246451,0.122468
5700,0.001495,0.248384,0.120843
5710,0.001466,0.248570,0.119184
5720,0.001456,0.246561,0.121677
5730,0.001499,0.244993,0.123771
5740,0.001555,0.247742,0.123914
5750,0.001534,0.253587,0.124243
5760,0.001564,0.249473,0.121680
5770,0.001453,0.252109,0.125060
5780,0.001516,0.254170,0.124407
5790,0.001570,0.254598,0.123537
5800,0.001511,0.256373,0.126849
5810,0.001582,0.256029,0.126939
5820,0.001552,0.257344,0.126215
5830,0.001510,0.254391,0.124926
5840,0.001540,0.259486,0.127541
5850,0.001531,0.260748,0.127765
5860,0.001556,0.263745,0.126275
5870,0.001582,0.262784,0.128355
5880,0.001529,0.258252,0.129239
5890,0.001536,0.264728,0.129351
5900,0.001620,0.264539,0.130652
5910,0.001528,0.264190,0.129879
5920,0.001552,0.264807,0.132579
5930,0.001559,0.261517,0.132544
5940,0.001587,0.267334,0.131019
5950,0.001590,0.267888,0.130869
5960,0.001662,0.265322,0.132488
5970,0.001563,0.271825,0.134203
5980,0.001565,0.272801,0.135180
5990,0.001558,0.274943,0.134555
6000,0.001547,0.273230,0.134378
6010,0.001598,0.275014,0.136295
6020,0.001580,0.271728,0.134844
6030,0.001596,0.275354,0.135210
6040,0.001580,0.279342,0.136304
6050,0.001565,0.276733,0.137232
6060,0.001585,0.279384,0.138815
6070,0.001607,0.278175,0.138754
6080,0.001600,0.277884,0.137676
6090,0.001611,0.282731,0.139559
6100,0.001631,0.280302,0.140268
6110,0.001629,0.286162,0.137935
6120,0.001629,0.285402,0.140274
6130,0.001624,0.286516,0.141385
6140,0.001601,0.283688,0.137437
6150,0.001634,0.287397,0.142803
6160,0.001601,0.288840,0.142412
6170,0.001639,0.289596,0.143192
6180,0.001616,0.287305,0.140376
6190,0.001626,0.289007,0.142605
6200,0.001614,0.295511,0.140272
6210,0.001573,0.290224,0.142646
6220,0.001639,0.298018,0.145772
6230,0.001628,0.287656,0.141778
6240,0.001597,0.295874,0.146472
6250,0.001608,0.294228,0.147108
6260,0.001613,0.292507,0.148553
6270,0.001646,0.294634,0.147059
6280,0.001671,0.296193,0.149203
6290,0.001657,0.298241,0.145305
6300,0.001603,0.299768,0.150414
6310,0.001678,0.305363,0.148086
6320,0.001687,0.303612,0.150165
6330,0.001647,0.304077,0.147996
6340,0.001665,0.303976,0.152557
6350,0.001683,0.310681,0.148543
6360,0.001590,0.309159,0.151267
6370,0.001671,0.309392,0.149211
6380,0.001679,0.304585,0.154049
6390,0.001651,0.312332,0.152562
